query,alpha,iter,plan_time,run_time,plan_hash
4,0.000000,0,1,136,-1087457264
4,0.000000,1,1,147,1556643088
4,0.000000,2,1,144,-1087457264
4,0.000000,3,1,149,-1087457264
4,0.000000,4,1,142,1556643088
4,0.000000,5,1,135,1556643088
4,0.000000,6,1,139,1556643088
4,0.000000,7,1,136,-1087457264
4,0.000000,8,1,142,-1087457264
4,0.000000,9,1,135,1556643088
4,0.000000,10,1,136,-1087457264
4,0.000000,11,1,140,-1087457264
4,0.000000,12,1,138,1556643088
4,0.000000,13,1,137,1556643088
4,0.000000,14,1,139,1556643088
4,0.000000,15,1,140,-1087457264
4,0.000000,16,1,140,-1087457264
4,0.000000,17,1,134,-1087457264
4,0.000000,18,1,145,1556643088
4,0.000000,19,1,135,1556643088
